"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Air Shaft
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Accumulation,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Hallway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Garage
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Air Shaft
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Accumulation,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Yard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Stoop
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,Sec 8,Yes,Missing or Inadequate Cans/Lid,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,PVT,Yes,Missing or Inadequate Cans/Lid,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DPM,Yes,Missing or Inadequate Cans/Lid,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Unsanitary Condition,Garbage/Recycling Storage,DAMP,Yes,Missing or Inadequate Cans/Lid,Building-Wide,Building-Wide
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Hallway
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Mold,Sec 8,Yes,N/A,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Bed Bugs,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Storage Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Air Shaft
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Hallway
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Fleas,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Fire Exit/Passageway
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Fire Escape/Egress
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Fire Stairs/Tower
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Kitchen
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Laundry Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Lobby
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Courtyard
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Compactor Closet
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Cellar
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Building Entrance
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Boiler Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Bathroom
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Basement
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Stairs
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Meter Room
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Other Room/Area
Department of Housing Preservation and Development,Unsanitary Condition,Pests,Sec 8,Yes,Flies,Public Area,Storage Room
